TIM                              GSCN       ROUND(RATE)          Headroom   
      
20181003104009    12554209643612                73            2572.8   
20181003104012    12554209643821                83            2572.8   
20181003104030    12554209645139                90            2572.8   
20181003104045    12554209646485                87            2572.8   
20181003104128    12554209650236                81            2572.8   
20181003104131    12554209650405                62            2572.8   
20181003104243    12554209656294                68            2572.8   
20181003104402    12554209661655                45            2572.8   
20181003104555    12554209666708                54            2572.8   
20181003104555    12554209666773               141            2572.8   
20181003104756    12554209673265               161            2572.8   
20181003104914    12554209685835               365            2572.8   
20181003104951    12554209699344               352            2572.8   
20181003104953    12554209700226               358            2572.8   
20181003105030    12554209713054               383            2572.8   
20181003105103    12554209725703               350            2572.8   
20181003105139    12554209738310               342            2572.8   
20181003105142    12554209739260               367            2572.8   
20181003105218    12554209751648               371            2572.8   
20181003105251    12554209763904               394            2572.8   
20181003105327    12554209778094               362            2572.8   
20181003105330    12554209778846            609965            2572.8   
20181003105403    12554209791142               360            2572.8   
20181003105439    12554209804086           1829168            2572.8   
20181003105515    12554275654143               173            2572.8   
20181003105518    12554275655054               258            2572.8   
20181003105558    12554275661576               232            2572.8   
20181003105611    12554275664589               324            2572.8   
20181003105722    12554275687619                94            2572.8   
20181003105725    12554275687833                95            2572.8   
20181003105738    12554275689125                93            2572.8   
20181003105753    12554275690520                94            2572.8   
20181003105808    12554275691924                72            2572.8   
20181003105810    12554275692114             30992            2572.8   
20181003105829    12554275693427            105111            2572.8   
20181003105844    12554277270089               148            2572.8   
20181003105900    12554277272452               428            2572.8   
20181003105901    12554277272690              5678            2572.8   
20181003105906    12554277275017              8007            2572.8   
20181003110039    12554278019630                75            2572.8   
20181003110112    12554278022111                 9            2572.8   
20181003110113    12554278022121                 8            2572.8   
20181003110121    12554278022188               133            2572.8   
20181003110124    12554278022222               224            2572.8   
20181003110229    12554278036806                81            2572.8   
20181003110413    12554278045185               108            2572.8   
20181003110414    12554278045225              2511            2572.8   
20181003110558    12554278056559              1338            2572.8   
20181003111105    12554278467288              5107            2572.8   
20181003111500    12554279667521              2725            2572.8   
20181003111501    12554279669768              2907            2572.8   
20181003111758    12554280152603              2941            2572.8   
20181003112043    12554280637840              3070            2572.8   
20181003112323    12554281129106              1885            2572.8   
20181003112324    12554281131939              2370            2572.8   
20181003112745    12554281622904              2614            2572.8   
20181003113109    12554282156118              2763            2572.8   
20181003113425    12554282697610              3165            2572.8   
20181003113426    12554282700604              3142            2572.8   
20181003113716    12554283238787              3119            2572.8   
20181003114005    12554283765945              3140            2572.8   
20181003114257    12554284306017              3160            2572.8   
20181003114258    12554284309157              2206            2572.8   
20181003114548    12554284846439              2233            2572.8   
20181003114943    12554285371158              1666            2572.8   
20181003115456    12554285892591              2252            2572.8   
20181003115457    12554285895407              1657            2572.8   
20181003115848    12554286414972              1783            2572.8   
20181003120337    12554286930179              1240            2572.8   
20181003121035    12554287448675              2175            2572.8   
20181003121036    12554287451628              2532            2572.8   
20181003121427    12554287953290              2757            2572.8   
20181003121724    12554288441331              2777            2572.8   
20181003122019    12554288927384              3084            2572.8   
20181003122020    12554288930156              2464            2572.8   
20181003122258    12554289417742              3044            2572.8   
20181003122538    12554289904743              1802            2572.8   
20181003123027    12554290425636              2616            2572.9   
20181003123028    12554290428121              2932            2572.9   
20181003123351    12554290959242              3078            2572.9   
20181003123646    12554291497934              3177            2572.9   
20181003123934    12554292031720              3152            2572.9   
20181003123936    12554292034967              2860            2572.9   
20181003124223    12554292564353              3148            2572.9   
20181003124512    12554293096327              2408            2572.9   
20181003124854    12554293630883              2054            2572.9   
20181003124855    12554293633821              2033            2572.9   
20181003125310    12554294156781              1770            2572.9   
20181003125759    12554294668321              2349            2572.9   
20181003130142    12554295192052              1677            2572.9   
20181003130143    12554295195097               210            2572.9   
20181003130655    12554295717045                70            2572.9   
20181003140108    12554295944633                11            2572.9   
20181003140109    12554295944664                 7            2572.9   
20181003140117    12554295944718              1140            2572.9   
20181003140117    12554295944730              1123            2572.9   
20181003145301    12554299430258              1339            2572.9   
20181003145737    12554299799875               334            2572.9   
20181003145738    12554299800047               383            2572.9   
20181003145926    12554299836251               365            2572.9   
20181003150123    12554299878962               492            2572.9   
20181003150226    12554299909985               525              2573   
20181003150227    12554299910618              1116              2573   
20181003150308    12554299932052               327              2573   
20181003150512    12554299972637              2195              2573   
20181003150706    12554300222894               349              2573   
20181003150707    12554300222963              2048              2573   
20181003150834    12554300253589               796              2573   
20181003151341    12554300497810              2369              2573   
20181003154128    12554304446464              1308              2573   
20181003154129    12554304446468              1215              2573   
20181003164803    12554309672157               739              2573   
20181003170108    12554310251880                 9              2573   
20181003170109    12554310251888                10              2573   
20181003170118    12554310251981               436              2573   
20181003170120    12554310251992               436              2573   
20181003200108    12554314958778                 9            2573.1   
20181003200108    12554314958781                10            2573.1   
20181003200117    12554314958874               258            2573.1   
20181003200120    12554314958884               183            2573.1   
20181003221709    12554316450999               953            2573.2   
20181003223144    12554317284705               993            2573.2   
20181003223146    12554317284730              1522            2573.2   
20181003224525    12554318100143              2470            2573.3   
20181003225149    12554319048786              1635            2573.3   
20181003230112    12554319972375                 7            2573.3   
20181003230114    12554319972386                 6            2573.3   
20181003230123    12554319972442              3254            2573.3   
20181003230124    12554319972454              3255            2573.3   
20181004013154    12554349366919                11            2573.4   
20181004013155    12554349366932                12            2573.4   
20181004013204    12554349367037                 8            2573.4   
20181004013206    12554349367049                 9            2573.4   
20181004013207    12554349367058                 8            2573.4   
20181004013207    12554349367061                 8            2573.4   
20181004020113    12554349380564                 6            2573.4   
20181004020115    12554349380579                 6            2573.4   
20181004020122    12554349380620                22            2573.4   
20181004020125    12554349380633                22            2573.4   
20181004050118    12554349622758                 9            2573.5   
20181004050120    12554349622769                 9            2573.5   
20181004050127    12554349622833                 8            2573.5   
20181004050127    12554349622839                 8            2573.5   
20181004080109    12554349705753                 9            2573.6   
20181004080110    12554349705763                 8            2573.6   
20181004080118    12554349705830              7950            2573.6   
20181004080118    12554349705834              7970            2573.6   
20181004101020    12554411411879              2909            2573.7   
20181004101050    12554411499145              1018            2573.7   
20181004101051    12554411502304              1019            2573.7   
20181004110112    12554414579925                11            2573.7   
20181004110115    12554414579945                12            2573.7   
20181004110124    12554414580053               331            2573.7   
20181004110125    12554414580063               331            2573.7   
20181004140107    12554418149002                 6            2573.8   
20181004140108    12554418149014                 6            2573.8   
20181004140118    12554418149072              1746            2573.8   
20181004140120    12554418149085              1747            2573.8   
20181004170107    12554436988698                 8            2573.9   
20181004170108    12554436988707                 8            2573.9   
20181004170118    12554436988787                 8            2573.9   
20181004170120    12554436988797                 8            2573.9   
20181004200110    12554437073166                 9            2574.1   
20181004200110    12554437073170                 8            2574.1   
20181004200119    12554437073244               210            2574.1   
20181004200119    12554437073247               114            2574.1   
20181004221317    12554437975654              1058            2574.2   
20181004222809    12554438919733              2611            2574.2   
20181004222812    12554438928144              2545            2574.2   
20181004223406    12554439852034              2303            2574.2   
20181004224055    12554440794090              2764            2574.2   
20181004224637    12554441739447              2795            2574.2   
20181004224639    12554441745995              2049            2574.2   
20181004225216    12554442686786              1583            2574.2   
20181004230114    12554443538604                 3            2574.2   
20181004230114    12554443538608                 3            2574.2   
20181004230122    12554443538629              2198            2574.2   
20181004230123    12554443538633              2198            2574.2   
20181005020541    12554467841220               191            2574.3   
20181005020541    12554467841258               191            2574.3   
20181005020549    12554467842784               189            2574.3   
20181005020550    12554467842939               273            2574.3   
20181005020553    12554467843539                19            2574.3   
20181005020556    12554467844579                19            2574.3   
20181005050119    12554468042699                 7            2574.4   
20181005050119    12554468042702                 7            2574.4   
20181005050128    12554468042765                 7            2574.4   
20181005050128    12554468042768                 7            2574.4   
20181005080109    12554468123507                11            2574.5   
20181005080109    12554468123511                11            2574.5   
20181005080118    12554468123607              7945            2574.5   
20181005080118    12554468123610              7944            2574.5   
20181005110114    12554553898451                 6            2574.6   
20181005110115    12554553898455                 6            2574.6   
20181005110124    12554553898508              1007            2574.6   
20181005110126    12554553898528              1007            2574.6   
20181005140108    12554564752943                13            2574.7   
20181005140108    12554564752954                13            2574.7   
20181005140120    12554564753103              1141            2574.7   
20181005140120    12554564753107              1141            2574.7   
20181005170110    12554577061033                 9            2574.8   
20181005170110    12554577061042                 9            2574.8   
20181005170119    12554577061118               274            2574.8   
20181005170119    12554577061121               274            2574.8   
20181005200109    12554580017750                 7              2575   
20181005200110    12554580017767                 6              2575   
20181005200119    12554580017823               104              2575   
20181005200121    12554580017838               294              2575   
20181005222540    12554580914465              2531            2575.1   
20181005223149    12554581848462              2202            2575.1   
20181005223856    12554582788511              2291            2575.1   
